Unnamed: 0,Questions,Correct,A,B,C,D,Concept,Difficulty
0,"  Knowing that Vijay's expenditure for first 3 days is Rs. 100, Rs. 125 and Rs. 85, what is his 4th day expenditure as his 4 days average expenditure Rs. 90?",Rs. 50,Rs. 220,Rs. 60,Rs. 50,Rs. 90,,
1," Without considering the salary of the boss, the average salary reduces by Rs. 1000. What will be salary of boss if average salary of 11 employees and the boss is Rs. 18000?",Rs. 29000,Rs. 30000,Rs. 27000,Rs. 36000,Rs. 29000,,
2,"  What will be average price of all the goods bought, if Ajay buys 30 erasers for Rs. 3 each, 35 chocolates for Rs. 10 each and 25 clips at the rate of Rs. 4 each?",Rs. 6,Rs. 9,Rs. 6,Rs. 5.5,Rs. 8.25,,
3, How much will be the average of the squares of natural numbers from 1 to 35?,426,612.5,1225,426,324,,
4, Find average of natural numbers from 1 to 65?,33,33,32.5,130,65,,
5," If the sum of three consecutive even numbers is 44 more than the average of these numbers, then the largest of these numbers is?",24,20,24,22,None of these,,
6, The average of 5 quantities is 6. The average of 3 of them is 4. What is the average of remaining 2 numbers?,9,9,10,8,9.5,,
7,  Average age of 7 family members is 75 years. But average age of 6 of them is 74 years 6 months. What is the age of the 7th family member?,78,75.5,78,68,80,,
8,  Average age of 5 people is 42 years. Another group has 8 people who have average age of 81 years. When both groups are mixed what is average age of all people?,66 years,64 years,66 years,61.5 years,70 years,,
9,  Average age of 5 people in a family is 55 years. However it is seen that 3 of the 5 people also have an average age of 55 years. What will be the average age of remaining two people of the family?,55 years,82.5 years,27.5 years,55 years,110 years,,
10,"  Which of the following exactly denotes the average price of all the goods together if, Ramesh buys â€˜aâ€™ number of goods of type â€˜Aâ€™ at price of Rs. â€˜Eâ€™ each, â€˜bâ€™ number of goods of type â€˜Bâ€™ at price of Rs. â€˜Fâ€™ each and â€˜câ€™ number of goods of type â€˜Câ€™ at price of Rs. â€˜Gâ€™ each?",(aE+bF+cG) / (a+b+c),(E+F+G) / (a+b+c),(AE+BF+CG) / (a+b+c),(aE+bF+cG) / (a+b+c),(aA+bB+cC) / (a+b+c),,
11,"  The average of fifty numbers is 28. If two numbers, namely 25 and 35 are discarded, the average of the remaining numbers is nearly,",27.92,29.27,27.92,27.29,29.72,,
12,  The average of three numbers is 77. The first number is twice the second and the second number is twice the third. Find the first number.,132,33,66,77,132,,
13," Average age of A and B is 30 years, that of B and C is 32 years and the average age of C and A is 34 years. The age of C is",36 years,33 years,34 years,35 years,36 years,,
14,"  3 boxes have some average weight. When one box which weighs 89 kg is replaced by another box, the average weight increases by 5 kg. How much the new box weighs?",104 kg,109 kg,94 kg,104 kg,84 kg,,
15," A batsman played 11 innings and has a certain average. This average increases by 2 runs when his 3 innings of 32 runs, 33 runs and 34 runs are replaced by 3 other innings. Find the average of these 3 new innings.",40 (1/3) runs,40 runs,35 (3/8) runs,42 (3/8) runs,40 (1/3) runs,,
16,"  Of the 20 cycles sold by Ajay, average cost of 12 cycles is Rs. 18000. In total he earned Rs. 300000. What was the average cost of remaining cycles?",Rs. 10500,Rs. 10500,Rs. 7500,Rs. 9125,Rs. 9750,,
17," Had Ajay scored 18 runs more in his 3rd innings and 4 runs more in his 7th innings, his average would have become 66 runs. But it is 64 runs. How many innings did he play?",11,15,10,12,11,,
18,"  What will be the ratio of number of history books to number of geography books, if average number of pages of all books is 158, average number of pages of all history books is 164 and average number of pages of geography books 154?",2:3,3:5,5:3,2:3,3:2,,
19,  The average of first 17 multiples of 13 is,117,110.5,117,221,111,,
20,"  In the India-Australia one day match, due to rain, India needed 324 runs in 48 overs to win. In initial 10 overs, the average scoring rate was 6, but in next 10 overs it increased to 8.5. It then declined to 5.5 in next 10 overs and again rose to 7 in next 10 overs. To win the match now what average is needed?",6.75,8.25,6.75,7.75,7.0,,
21,"  In a group of people, the oldest and the youngest have an age difference of 100 years. If these two are left out of counting, then the average age of the remaining 40 people is 28. The average age of entire group being 30, how old is the eldest person?",120 years,101 years,115 years,120 years,103 years,,
22,"  The average weight of three boys P, Q and R is 54 kg, while the average weight of three boys Q, S and T is 60 kg. What is the average weight of P, Q, R, S and T?",Data Inadequate,66.4 kg,63.2 kg,58.8 kg,Data Inadequate,,
23,"  If from a group of 5 people, an old member is replaced by a new one, the average age is same as it was 3 years ago. What is the difference between the ages of the old member and the new one?",15,12,15,11,18,,
24,"  The batting average of a particular batsman is 60 runs in 46 innings. If the difference in his highest and lowest score is 150 runs and his average excluding these two innings is 58 runs, find his highest score.",179,179,208,210,None of these,,
25,"  Vijay says that his weight is between 75kg and 85kg. But his sister says that his weight is between 70kg and 80kg. his mother says that his weight cannot be greater than 78kg. If all the three predictions are correct, what is the average of different probable weights of Vijay?",76.5,75,80,78.5,76.5,,
26,  Determine a manâ€™s present age if his present age is 125% of his age 10 years ago and 83.333% of his age 10 years from now.,50 years,40 years,50 years,60 years,70 years,,
27,  Average score for Virat Kohli in a series of 10 matches is 38.9 runs. If the average for first six matches comes out to be 42 what is his average in the last 4 matches of the series?,34.25,34.25,35,33.25,34.25,,
28,  The average weight of 8 persons is increased by 2.5 kg when one of them who weighs 56 kg is replaced by a new man. The weight of the new man is,76 years,76 years,72 years,78 years,None of these,,
29,  Average of six numbers comes out to be 3.95. Average of two of the numbers is 3.4 while the average of other two is 3.85. Determine the average of the two numbers left.,4.6,4.7,4.8,4.3,4.6,,
30,  The product of two positive numbers is 4752 and their ratio is 11:12. The smaller of these numbers is,66,72,60,66,75,,
31,  a:b = 3:7 and b:c = 9:5. What is a:b:c?,27: 63:35,3:15:5,21:16:45,3:7:5,27: 63:35,,
32,  Find the mean proportional between 7 and 63?,21,35,21,27,30,,
33,"  If a : b = 2 : 3, find the value of (3a + 5b) : (3a â€“ b)",7 : 1,2 : 7,7 : 1,2 : 5,4 : 9,,
34,"  The ratio of two numbers is 5:9. If each number is decreased by 5, the ratio becomes 5:11. Find the numbers.","15, 27","30, 19","21, 37","15, 34","15, 27",,
35,"  Two kinds of rice, 1st costs Rs.13 per kg and 2nd costs Rs.19 per kg are mixed together. Find the ratio in which the 2 types are mixed so that the mixture costs Rs.14.2 per kg?",4:1,3:1,4:1,3:4,4:3,,
36,"  What is the fourth proportional to the numbers 2, 5, 8.",20,40,20,15,10,,
37,  a:b = 5:2. What is the value of (8a + 9b): (8a + 2b)?,29:22,22:29,26:61,29:22,61:26,,
38,  Ratio of areas of incircle and circumcircle of an equilateral triangle is?,1:4,1:4,1:2,2:1,2:3,,
39,"  A sum of money was to be divided amongst A and B in the ratio of 2:3. If the money is divided in the ratio of 3: 2, A will benefit by Rs. 75. The total money is",Rs. 375,Rs. 325,Rs. 225,Rs. 250,Rs. 375,,
40,"  In a library, the ratio of number of story books to that of non-story books was 4:3 and total number of story books was 1248. When some more story books were bought, the ratio became 5:3. Find the number of story books bought.",312,312,321,936,1560,,
41,"  Rs. 8400 is divided among A, B, C and D in such a way that the shares of A and B, B and C, and C and D are in the ratios of 2:3, 4:5 and 6:7 respectively. The share of A is",Rs. 1280,Rs. 1280,Rs. 8400,Rs. 8210,Rs. 1320,,
42,  The ratio of the present age of father to that of son is 7:2. After 10 years their ages will be in the ratio of 9:4. The present ages of the father is,35 years,35 years,40 years,30 years,25 years,,
43,"  Ajay and Raj together have Rs. 1050. On taking Rs. 150 from Ajay, Ajay will have same amount as what Raj had earlier. Find the ratio of amounts with Ajay and Raj initially.",4:3,3:4,7:1,1:3,4:3,,
44,"  Price of each article of type P, Q, and R is Rs. 300, Rs. 180 and Rs. 120 respectively. Suresh buys articles of each type in the ratio 3:2:3 in Rs. 6480. How many articles of type Q did he purchase?",8,8,14,20,None of the above,,
45,  The ratio of market prices of wheat and paddy is 2:3 and the ratio of quantities consumed in a family is 5:4. Find the ratio of expenditure of wheat and paddy.,5:6,6:5,5:6,1:1,8:15,,
